word,morphemes
adia,"[""a"", ""dia""]"
adiady,"[""ady"", ""ady""]"
adibadibaka,"[""a"", ""dibaka"", ""dibaka""]"
adidike,"[""a"", ""didike""]"
adidina,"[""a"", ""didy"", ""ina""]"
adiditra,"[""a"", ""diditra""]"
adidy,"[""a"", ""didy""]"
adifika,"[""a"", ""difika""]"
adifotra,"[""a"", ""difotra""]"
adify,"[""a"", ""dify""]"
adika,"[""a"", ""dika""]"
adilana,"[""a"", ""dilana""]"
adilotra,"[""a"", ""dilotra""]"
adilovana,"[""a"", ""dilo"", ""ana""]"
adimby,"[""a"", ""dimby""]"
adinadina,"[""adina"", ""adina""]"
adingana,"[""a"", ""dingana""]"
adingidingy,"[""a"", ""dingidingy""]"
adingina,"[""a"", ""dingina""]"
adinina,"[""adina"", ""ina""]"
adiridiry,"[""a"", ""diry"", ""diry""]"
adiso,"[""a"", ""diso""]"
adisoke,"[""a"", ""disoke""]"
aditsika,"[""a"", ""ditsika""]"
adity,"[""a"", ""dity""]"
adivina,"[""ady"", ""ina""]"
adizidizy,"[""a"", ""dizidizy""]"
adizina,"[""a"", ""dy"", ""ina""]"
adobebaka,"[""a"", ""dobebaka""]"
adobibika,"[""a"", ""dobibika""]"
adoboka,"[""a"", ""doboka""]"
adoboke,"[""a"", ""doboke""]"
adodadoda,"[""a"", ""doda"", ""doda""]"
adodo,"[""a"", ""dodo""]"
adodododo,"[""a"", ""dodo"", ""dodo""]"
adofaka,"[""a"", ""dofaka""]"
adofitra,"[""a"", ""dofitra""]"
adofotse,"[""a"", ""dofotse""]"
adogaga,"[""a"", ""do"", ""gaga""]"
adohaka,"[""a"", ""dohaka""]"
adola,"[""a"", ""dola""]"
adoladola,"[""a"", ""dola"", ""dola""]"
adomo,"[""a"", ""domo""]"
adona,"[""a"", ""dona""]"
adonadonana,"[""adonadona"", ""ana""]"
adonadonina,"[""adonadona"", ""ina""]"
adonaka,"[""a"", ""donaka""]"
adongaingy,"[""a"", ""dongaingy""]"
adoraraka,"[""a"", ""doraraka""]"
adoroboka,"[""a"", ""doroboka""]"
adradradradra,"[""a"", ""dradradradra""]"
adraiko,"[""a"", ""draiko""]"
adraina,"[""adra"", ""ina""]"
adrakadraka,"[""a"", ""drakadraka""]"
aebotse,"[""a"", ""ebotse""]"
aefitra,"[""a"", ""efitra""]"
aelakelaka,"[""a"", ""elaka"", ""elaka""]"
aelanelana,"[""a"", ""elana"", ""elana""]"
aelatra,"[""a"", ""elatra""]"
aele,"[""a"", ""ele""]"
aelo,"[""a"", ""elo""]"
aely,"[""a"", ""ely""]"
aemboka,"[""a"", ""emboka""]"
aemboke,"[""a"", ""emboke""]"
aemonemona,"[""a"", ""emonemona""]"
aemotse,"[""a"", ""emotse""]"
aempaempa,"[""a"", ""empaempa""]"
aempempa,"[""a"", ""empempa""]"
aempo,"[""a"", ""empo""]"
aena,"[""a"", ""ena""]"
aende,"[""a"", ""ende""]"
aendrikendrika,"[""a"", ""endrika"", ""endrika""]"
aendrinendrina,"[""a"", ""endrinendrina""]"
aene,"[""a"", ""ene""]"
aenga,"[""a"", ""enga""]"
aepaky,"[""a"", ""epaky""]"
aepoke,"[""a"", ""epoke""]"
aerinerina,"[""a"", ""erina"", ""erina""]"
aeritreritra,"[""a"", ""eritra"", ""eritra""]"
aesotra,"[""a"", ""esotra""]"
aetake,"[""a"", ""etake""]"
aetrietry,"[""a"", ""etry"", ""etry""]"
aetry,"[""a"", ""etry""]"
aetsaka,"[""a"", ""etsaka""]"
aetsaketsaka,"[""a"", ""etsaka"", ""etsaka""]"
aevanevana,"[""a"", ""evanevana""]"
aevoka,"[""a"", ""evoka""]"
aevotra,"[""a"", ""evotra""]"
aezaka,"[""a"", ""ezaka""]"
aezanezana,"[""a"", ""ezanezana""]"
aezinezina,"[""a"", ""ezinezina""]"
afadiditra,"[""a"", ""fa"", ""diditra""]"
afaditra,"[""a"", ""faditra""]"
afafa,"[""a"", ""fafa""]"
afafy,"[""a"", ""fafy""]"
afahana,"[""a"", ""fahana""]"
afahana,"[""afaka"", ""ana""]"
afahatra,"[""a"", ""fahatra""]"
afahina,"[""afaka"", ""ina""]"
afahirano,"[""a"", ""fahirano""]"
afahitra,"[""a"", ""fahitra""]"
afaho,"[""a"", ""faho""]"
afahy,"[""a"", ""fahy""]"
afaingoka,"[""a"", ""faingoka""]"
afaitra,"[""a"", ""faitra""]"
afakafaka,"[""afaka"", ""afaka""]"
afalapala,"[""a"", ""falapala""]"
afalo,"[""a"", ""falo""]"
afaly,"[""a"", ""faly""]"
afanaina,"[""a"", ""fana"", ""ina""]"
afanana,"[""afana"", ""ana""]"
afandraka,"[""a"", ""fandraka""]"
afandrika,"[""a"", ""fandrika""]"
afandrotra,"[""a"", ""fandrotra""]"
afangaro,"[""a"", ""fan"", ""haro""]"
afangaroharo,"[""a"", ""fan"", ""haro"", ""haro""]"
afangoka,"[""a"", ""fangoka""]"
afangopangotra,"[""a"", ""fangotra"", ""fangotra""]"
afanjike,"[""a"", ""fanjike""]"
afantaka,"[""a"", ""fantaka""]"
afantoka,"[""a"", ""fantoka""]"
afantoke,"[""a"", ""fantoke""]"
afantsana,"[""a"", ""fantsana""]"
afantsika,"[""a"", ""fantsika""]"
afantsike,"[""a"", ""fantsike""]"
afantsitsitra,"[""a"", ""fantsitsitra""]"
afantsona,"[""a"", ""fantsona""]"
afaoka,"[""a"", ""faoka""]"
afara,"[""a"", ""fara""]"
afaraingo,"[""a"", ""faraingo""]"
afarango,"[""a"", ""farango""]"
afararemotra,"[""a"", ""fararemotra""]"
afaratsaka,"[""a"", ""faratsaka""]"
afaritra,"[""a"", ""faritra""]"
afaritsoka,"[""a"", ""fa"", ""ritsoka""]"
afatopatotra,"[""a"", ""fatotra"", ""fatotra""]"
afatotra,"[""a"", ""fatotra""]"
afatra,"[""a"", ""fatra""]"
afatrafatra,"[""a"", ""fatra"", ""a"", ""fatra""]"
afatratra,"[""a"", ""fatratra""]"
afatry,"[""a"", ""fatry""]"
afefika,"[""a"", ""fefika""]"
afefy,"[""a"", ""fefy""]"
afehe,"[""a"", ""fehe""]"
afehy,"[""a"", ""fehy""]"
afelika,"[""a"", ""felika""]"
afelipelika,"[""a"", ""felika"", ""felika""]"
afempina,"[""a"", ""fempina""]"
afendrotra,"[""a"", ""fendrotra""]"
afenina,"[""a"", ""fina"", ""ina""]"
afenjake,"[""a"", ""fenjake""]"
afeno,"[""a"", ""feno""]"
afente,"[""a"", ""fente""]"
afeny,"[""a"", ""feny""]"
aferafera,"[""afera"", ""afera""]"
aferina,"[""a"", ""fitra"", ""ina""]"
afesana,"[""a"", ""fesana""]"
afeta,"[""a"", ""feta""]"
afetaka,"[""a"", ""fetaka""]"
afetra,"[""a"", ""fetra""]"
afetrika,"[""a"", ""fetrika""]"
afetsaka,"[""a"", ""fetsaka""]"
afetse,"[""a"", ""fetse""]"
afetsy,"[""a"", ""fetsy""]"
afezaka,"[""a"", ""fezaka""]"
afia,"[""a"", ""fia""]"
afify,"[""a"", ""fify""]"
afihina,"[""a"", ""fihina""]"
afihitra,"[""a"", ""fihitra""]"
afihy,"[""a"", ""fihy""]"
afikitra,"[""a"", ""fi"", ""kitra""]"
afilatse,"[""a"", ""filatse""]"
afilo,"[""a"", ""filo""]"
afina,"[""a"", ""fina""]"
afinafenina,"[""a"", ""fina"", ""a"", ""fina"", ""ina""]"
afinafina,"[""a"", ""fina"", ""a"", ""fina""]"
afindra,"[""a"", ""findra""]"
afindrafindra,"[""a"", ""findra"", ""findra""]"
afingafinga,"[""a"", ""finga"", ""finga""]"
afingana,"[""a"", ""fingana""]"
afinja,"[""a"", ""finja""]"
afintina,"[""a"", ""finty"", ""ina""]"
afinty,"[""a"", ""finty""]"
afioka,"[""a"", ""fioka""]"
afira,"[""a"", ""fira""]"
afitaka,"[""a"", ""fitaka""]"
afitake,"[""a"", ""fitake""]"
afitra,"[""a"", ""fitra""]"
afitrafitra,"[""a"", ""fitra"", ""a"", ""fitra""]"
afitsaka,"[""a"", ""fi"", ""tsaka""]"
afitsoka,"[""a"", ""fi"", ""tsoka""]"
afoahana,"[""a"", ""foaka"", ""ana""]"
afody,"[""a"", ""f"", ""ody""]"
afoe,"[""a"", ""foe""]"
afofoka,"[""a"", ""fofoka""]"
afofoke,"[""a"", ""fofoke""]"
afofotra,"[""a"", ""fofotra""]"
afoina,"[""a"", ""foina""]"
afoka,"[""a"", ""foka""]"
afokaina,"[""a"", ""foka"", ""ina""]"
afolaka,"[""a"", ""folaka""]"
afompotra,"[""a"", ""fompotra""]"
afondrana,"[""a"", ""fondrana""]"
afongana,"[""a"", ""fongana""]"
afongatra,"[""a"", ""fongatra""]"
afongo,"[""a"", ""fongo""]"
afongofongo,"[""a"", ""fongofongo""]"
afongotra,"[""a"", ""fongotra""]"
afonina,"[""afona"", ""ina""]"
afonitse,"[""a"", ""fonitse""]"
afonja,"[""a"", ""fonja""]"
afonjafonja,"[""a"", ""fonjafonja""]"
afonjo,"[""a"", ""fonjo""]"
afono,"[""a"", ""fono""]"
afonoka,"[""a"", ""fonoka""]"
afonta,"[""a"", ""fonta""]"
afontina,"[""a"", ""fontina""]"
afora,"[""a"", ""fora""]"
aforengoke,"[""a"", ""forengoke""]"
aforetaka,"[""a"", ""foretaka""]"
aforetse,"[""a"", ""foretse""]"
aforiporitra,"[""a"", ""foritra"", ""foritra""]"
aforitra,"[""a"", ""foritra""]"
aforokoko,"[""a"", ""forokoko""]"
afosa,"[""a"", ""fosa""]"
afositra,"[""a"", ""fositra""]"
afotafota,"[""a"", ""fotafota""]"
afotana,"[""a"", ""fotana""]"
afotetaka,"[""a"", ""fotetaka""]"
afotetse,"[""a"", ""fotetse""]"
afotitra,"[""a"", ""fotitra""]"
afotofoto,"[""a"", ""fotofoto""]"
afotoke,"[""a"", ""fotoke""]"
afototra,"[""a"", ""fototra""]"
afototse,"[""a"", ""fototse""]"
afotse,"[""a"", ""fotse""]"
afotsy,"[""a"", ""fotsy""]"
afovoanina,"[""afovoany"", ""ina""]"
afoy,"[""a"", ""foy""]"
afozafoza,"[""a"", ""foza"", ""foza""]"
agaboka,"[""a"", ""gaboka""]"
agadra,"[""a"", ""gadra""]"
agadragadra,"[""a"", ""gadragadra""]"
agadraka,"[""a"", ""gadraka""]"
agaika,"[""a"", ""gaika""]"
againa,"[""a"", ""gaina""]"
agana,"[""a"", ""gana""]"
agaona,"[""a"", ""gaona""]"
agararana,"[""a"", ""gararana""]"
agararo,"[""a"", ""gararo""]"
agareboka,"[""a"", ""ga"", ""reboka""]"
agarera,"[""a"", ""garera""]"
ageboka,"[""a"", ""geboka""]"
agedragedra,"[""a"", ""gedra"", ""gedra""]"
agehy,"[""a"", ""gehy""]"
ageja,"[""a"", ""geja""]"
agenagena,"[""a"", ""gena"", ""gena""]"
agia,"[""a"", ""gia""]"
agidrogidro,"[""a"", ""gidro"", ""gidro""]"
agigigigy,"[""a"", ""gigigigy""]"
agioka,"[""a"", ""gioka""]"
agoana,"[""a"", ""goana""]"
agogogogo,"[""a"", ""gogo"", ""gogo""]"
agoigoika,"[""a"", ""goika"", ""goika""]"
agona,"[""a"", ""gona""]"
agonagona,"[""a"", ""gonagona""]"
agorabaka,"[""a"", ""gorabaka""]"
agoragora,"[""a"", ""gora"", ""gora""]"
agorampa,"[""a"", ""gorampa""]"
agorobaka,"[""a"", ""go"", ""robaka""]"
agorodana,"[""a"", ""gorodana""]"
agororoana,"[""a"", ""gororoana""]"
agororosy,"[""a"", ""gororosy""]"
ahabaikoana,"[""aha"", ""baiko"", ""ana""]"
ahabeazana,"[""aha"", ""be"", ""ana""]"
ahabetsahana,"[""aha"", ""betsaka"", ""ana""]"
ahabiazana,"[""aha"", ""be"", ""ana""]"
ahadotse,"[""a"", ""hadotse""]"
ahadrahadra,"[""a"", ""hadra"", ""hadra""]"
ahady,"[""a"", ""hady""]"
ahafahafa,"[""a"", ""hafa"", ""hafa""]"
ahafahana,"[""aha"", ""afaka"", ""ana""]"
ahafaliana,"[""aha"", ""faly"", ""ana""]"
ahafantarana,"[""aha"", ""fantatra"", ""ana""]"
ahafatesana,"[""aha"", ""faty"", ""ana""]"
ahafatra,"[""a"", ""hafatra""]"
ahafoizana,"[""aha"", ""foy"", ""ana""]"
ahafokafoka,"[""a"", ""hafoka"", ""hafoka""]"
ahafy,"[""a"", ""ha"", ""fy""]"
ahahaka,"[""a"", ""hahaka""]"
ahahohaho,"[""a"", ""hahohaho""]"
ahahy,"[""a"", ""hahy""]"
ahaingo,"[""a"", ""haingo""]"
ahaino,"[""a"", ""haino""]"
ahaitraitra,"[""a"", ""haitra"", ""haitra""]"
ahaizana,"[""a"", ""hay"", ""ana""]"
ahalahelorana,"[""aha"", ""alahelo"", ""ana""]"
ahalainana,"[""aha"", ""laina"", ""na""]"
ahalairana,"[""aha"", ""laitra"", ""ana""]"
ahalalana,"[""aha"", ""lala"", ""na""]"
ahalana,"[""a"", ""halana""]"
ahalaniana,"[""aha"", ""lany"", ""ana""]"
ahalasanana,"[""aha"", ""lasana"", ""na""]"
ahalatsahana,"[""aha"", ""latsaka"", ""ana""]"
ahaleovana,"[""aha"", ""leo"", ""ana""]"
ahalohalo,"[""a"", ""halo"", ""halo""]"
ahalotra,"[""a"", ""halotra""]"
ahamasahana,"[""aha"", ""masaka"", ""ana""]"
ahambahamba,"[""a"", ""hamba"", ""hamba""]"
ahamenarana,"[""aha"", ""m"", ""henatra"", ""ana""]"
ahametezana,"[""aha"", ""m"", ""ety"", ""ana""]"
ahanahana,"[""ahana"", ""ahana""]"
ahanahanina,"[""ahana"", ""ahana"", ""ina""]"
ahanaka,"[""a"", ""hanaka""]"
ahanankanana,"[""a"", ""hanankanana""]"
ahandrina,"[""a"", ""handrina""]"
ahandrohandro,"[""a"", ""handro"", ""handro""]"
ahandroina,"[""a"", ""handro"", ""ina""]"
ahandrona,"[""a"", ""handrona""]"
ahandrotra,"[""a"", ""handrotra""]"
ahanjahanja,"[""a"", ""hanja"", ""hanja""]"
ahanta,"[""a"", ""hanta""]"
ahanto,"[""a"", ""hanto""]"
ahantona,"[""a"", ""hantona""]"
ahantone,"[""a"", ""hantone""]"
ahantsika,"[""a"", ""hantsika""]"
ahantsy,"[""a"", ""hantsy""]"
ahao,"[""a"", ""hao""]"
ahaona,"[""a"", ""haona""]"
ahaotra,"[""a"", ""haotra""]"
ahaotse,"[""a"", ""haotse""]"
aharatra,"[""a"", ""haratra""]"
aharatsaka,"[""a"", ""haratsaka""]"
aharatse,"[""a"", ""haratse""]"
aharenesana,"[""aha"", ""re"", ""na""]"
aharihary,"[""a"", ""harihary""]"
ahariva,"[""a"", ""hariva""]"
aharo,"[""a"", ""haro""]"
aharoka,"[""a"", ""haroka""]"
aharona,"[""a"", ""harona""]"
ahasambarana,"[""aha"", ""sambatra"", ""ana""]"
ahasina,"[""a"", ""hasina""]"
ahasohaso,"[""a"", ""hasohaso""]"
ahatahorana,"[""aha"", ""tahotra"", ""ana""]"
ahataka,"[""a"", ""hataka""]"
ahatakarana,"[""aha"", ""takatra"", ""ana""]"
ahatake,"[""a"", ""hatake""]"
ahatanterahana,"[""aha"", ""tanteraka"", ""ana""]"
ahatarihana,"[""aha"", ""tarika"", ""ana""]"
ahatazanana,"[""aha"", ""tazana"", ""na""]"
ahaterahana,"[""aha"", ""teraka"", ""ana""]"
ahatezerana,"[""aha"", ""tezitra"", ""na""]"
ahatokiana,"[""aha"", ""toky"", ""ana""]"
ahatongavana,"[""aha"", ""tonga"", ""ana""]"
ahatontosana,"[""aha"", ""tontosa"", ""na""]"
ahatra,"[""a"", ""hatra""]"
ahatrarana,"[""aha"", ""tratra"", ""ana""]"
ahatsaka,"[""a"", ""hatsaka""]"
ahatsapana,"[""aha"", ""tsapa"", ""na""]"
ahatsiarovana,"[""aha"", ""tsiaro"", ""ana""]"
ahatsika,"[""a"", ""hatsika""]"
ahatsinjovana,"[""aha"", ""tsinjo"", ""ana""]"
ahaty,"[""a"", ""haty""]"
ahavanonana,"[""aha"", ""vanona"", ""na""]"
ahavarana,"[""aha"", ""vatra"", ""ana""]"
ahavelomana,"[""aha"", ""velona"", ""ana""]"
ahaverezana,"[""aha"", ""very"", ""ana""]"
ahavihavy,"[""a"", ""havy"", ""havy""]"
ahavinaniana,"[""aha"", ""vinany"", ""ana""]"
ahavingavina,"[""a"", ""havingavina""]"
ahavitana,"[""aha"", ""vita"", ""na""]"
ahavitravitra,"[""a"", ""havitravitra""]"
ahavokarana,"[""aha"", ""vokatra"", ""ana""]"
ahazakana,"[""aha"", ""zaka"", ""na""]"
ahazakazaka,"[""a"", ""hazakazaka""]"
ahazangazana,"[""a"", ""hazangazana""]"
ahazohazo,"[""a"", ""hazo"", ""hazo""]"
ahazona,"[""a"", ""hazona""]"
ahebiheby,"[""a"", ""heby"", ""heby""]"
ahebintrebina,"[""a"", ""hebintrebina""]"
aheby,"[""a"", ""heby""]"
ahefahefa,"[""a"", ""hefahefa""]"
ahefake,"[""a"", ""hefake""]"
ahefakefaka,"[""a"", ""hefakefaka""]"
ahefikefehina,"[""a"", ""hefikefika"", ""ina""]"
ahefikefika,"[""a"", ""hefikefika""]"
ahefina,"[""a"", ""hefina""]"
ahehy,"[""a"", ""hehy""]"
ahela,"[""a"", ""hela""]"
ahelihely,"[""a"", ""helihely""]"
ahelina,"[""a"", ""helina""]"
ahelohelo,"[""a"", ""helo"", ""helo""]"
aheloka,"[""a"", ""heloka""]"
ahembahemba,"[""a"", ""hembahemba""]"
ahemotra,"[""a"", ""hemotra""]"
ahemotse,"[""a"", ""hemotse""]"
ahena,"[""a"", ""hena""]"
ahenahena,"[""a"", ""hena"", ""hena""]"
ahendratra,"[""a"", ""hendratra""]"
ahendry,"[""a"", ""hendry""]"
ahenikenika,"[""a"", ""henikenika""]"
ahenja,"[""a"", ""henja""]"
ahenjana,"[""a"", ""henjana""]"
ahenjihenjy,"[""a"", ""henjy"", ""henjy""]"
ahentitra,"[""a"", ""hentitra""]"
aherahera,"[""a"", ""herahera""]"
ahere,"[""a"", ""here""]"
aherika,"[""a"", ""herika""]"
aherina,"[""a"", ""herina""]"
aherohero,"[""a"", ""herohero""]"
aherongerona,"[""a"", ""herongerona""]"
ahery,"[""a"", ""hery""]"
ahetsika,"[""a"", ""hetsika""]"
ahetsiketsika,"[""a"", ""hetsika"", ""hetsika""]"
ahety,"[""a"", ""hety""]"
ahevaheva,"[""a"", ""heva"", ""heva""]"
ahevihevy,"[""a"", ""hevy"", ""hevy""]"
ahevingevina,"[""a"", ""hevingevina""]"
ahevitra,"[""a"", ""hevitra""]"
ahevo,"[""a"", ""hevo""]"
aheza,"[""a"", ""heza""]"
ahezaheza,"[""a"", ""hezaheza""]"
ahiahina,"[""ahy"", ""ahy"", ""ina""]"
ahiahy,"[""ahy"", ""ahy""]"
ahiboka,"[""a"", ""hiboka""]"
ahidihidy,"[""a"", ""hidy"", ""hidy""]"
ahidy,"[""a"", ""hidy""]"
ahifika,"[""a"", ""hifika""]"
ahifotra,"[""a"", ""hifotra""]"
ahihirana,"[""a"", ""hihitra"", ""ana""]"
ahihy,"[""a"", ""hihy""]"
ahika,"[""a"", ""hika""]"
ahilahila,"[""a"", ""hila"", ""hila""]"
ahilana,"[""a"", ""hilana""]"
ahilangilana,"[""a"", ""hilangilana""]"
ahilika,"[""a"", ""hilika""]"
ahilontrilona,"[""a"", ""hilontrilona""]"
ahily,"[""a"", ""hily""]"
ahimoka,"[""a"", ""himoka""]"
ahimpa,"[""a"", ""himpa""]"
ahina,"[""ahy"", ""ina""]"
ahinakinaka,"[""a"", ""hinaka"", ""hinaka""]"
ahindrahindra,"[""a"", ""hindrahindra""]"
ahinjaka,"[""a"", ""hinjaka""]"
ahinjihinjy,"[""a"", ""hinjihinjy""]"
ahinjitra,"[""a"", ""hinjitra""]"
ahinjoke,"[""a"", ""hinjoke""]"
ahintsa,"[""a"", ""hintsa""]"
ahintsana,"[""a"", ""hintsana""]"
ahipoka,"[""a"", ""hipoka""]"
ahiratana,"[""a"", ""hiratra"", ""ana""]"
ahiratra,"[""a"", ""hiratra""]"
ahirihiry,"[""a"", ""hirihiry""]"
ahirika,"[""a"", ""hirika""]"
ahirike,"[""a"", ""hirike""]"
ahirina,"[""a"", ""hirina""]"
ahiringirina,"[""a"", ""hiringirina""]"
ahirinkirina,"[""a"", ""hirina"", ""hirina""]"
ahiry,"[""a"", ""hiry""]"
ahisatra,"[""a"", ""hisatra""]"
ahitana,"[""a"", ""hita"", ""na""]"
ahitikitika,"[""a"", ""hitika"", ""hitika""]"
ahitrikitrika,"[""a"", ""hitrika"", ""hitrika""]"
ahitsaka,"[""a"", ""hitsaka""]"
ahitsake,"[""a"", ""hitsake""]"
ahitsike,"[""a"", ""hitsike""]"
ahitsoka,"[""a"", ""hitsoka""]"
ahitsy,"[""a"", ""hitsy""]"
ahity,"[""a"", ""hity""]"
ahivingivina,"[""a"", ""hivingivina""]"
ahivoka,"[""a"", ""hivoka""]"
ahizina,"[""a"", ""hizina""]"
ahizitra,"[""a"", ""hizitra""]"
ahoaho,"[""aho"", ""aho""]"
ahoahoina,"[""aho"", ""aho"", ""ina""]"
ahoalahoala,"[""a"", ""hoalahoala""]"
ahoatra,"[""a"", ""hoatra""]"
ahobankobana,"[""a"", ""hobana"", ""hobana""]"
ahodidina,"[""a"", ""hodidina""]"
ahodidy,"[""a"", ""hodidy""]"
ahodina,"[""a"", ""hodina""]"
ahodinkodina,"[""a"", ""hodina"", ""hodina""]"
ahodivitra,"[""a"", ""hodivitra""]"
ahodrahodra,"[""a"", ""hodrahodra""]"
ahofa,"[""a"", ""hofa""]"
ahofahofa,"[""a"", ""hofa"", ""hofa""]"
ahofakofaka,"[""a"", ""hofaka"", ""hofaka""]"
ahofokofoka,"[""a"", ""hofoka"", ""hofoka""]"
ahogo,"[""a"", ""hogo""]"
ahohoka,"[""a"", ""hohoka""]"
ahohoke,"[""a"", ""hohoke""]"
