word,root
mampanambina,ambina
mampiambina,ambina
mampifanambina,ambina
manambina,ambina
miambina,ambina
mifampiambina,ambina
mifanambina,ambina
mpanambina,ambina
mpiambina,ambina
voambina,ambina
ambontana,ambo
haambo,ambo
hambosana,ambo
amboamboa,amboa
amboazina,amboa
anamboazana,amboa
fanamboa,amboa
fanamboazana,amboa
mahamboa,amboa
mampanamboa,amboa
mampifanamboa,amboa
manamboa,amboa
mifanamboa,amboa
mpanamboa,amboa
amboloina,ambolo
ambolombolo,ambolo
anamboloana,ambolo
animboloana,ambolo
fanambolo,ambolo
fanamboloana,ambolo
mahambolo,ambolo
manambolo,ambolo
manimbolo,ambolo
mpanambolo,ambolo
voambolo,ambolo
ambonimbony,ambony
ambonina,ambony
ambonivony,ambony
anamboniana,ambony
fahamboniana,ambony
fahambony,ambony
fanamboniana,ambony
fiamboniana,ambony
iamboniana,ambony
mahaambony,ambony
mampanambony,ambony
mampifanambony,ambony
manambony,ambony
miambony,ambony
mifanambony,ambony
mpanambony,ambony
panambony,ambony
pifanambony,ambony
ambosiana,ambosy
ambosina,ambosy
anambosiana,ambosy
fambosiana,ambosy
fambosy,ambosy
fanambosiana,ambosy
fanambosy,ambosy
mahambosy,ambosy
mambosy,ambosy
mampanambosy,ambosy
mampifanambosy,ambosy
manambosy,ambosy
mifanambosy,ambosy
mpambosy,ambosy
mpanambosy,ambosy
voambosy,ambosy
mahamboze,amboze
manamboze,amboze
panamboze,amboze
anamiana,amy
fanamiana,amy
mankamy,amy
miamitramy,amitramy
mahaamoke,amoke
miamoke,amoke
mihaamoke,amoke
mahaampala,ampala
manampala,ampala
mihampala,ampala
panampala,ampala
ampalesina,ampaly
ampalimpaly,ampaly
ampalina,ampaly
anampalesana,ampaly
anampaliana,ampaly
fanampalesana,ampaly
fanampaliana,ampaly
fanampaly,ampaly
mahampaly,ampaly
manampaly,ampaly
mpanampaly,ampaly
voampaly,ampaly
fiampanampanana,ampanampana
miampanampana,ampanampana
ampangaina,ampanga
anampangana,ampanga
fiampanga,ampanga
fiampangana,ampanga
iampangana,ampanga
mahampanga,ampanga
mampanampanga,ampanga
mampiampanga,ampanga
mampifanampanga,ampanga
miampanga,ampanga
mifampiampanga,ampanga
mifanampanga,ampanga
mpiampanga,ampanga
voampanga,ampanga
miampangalainga,ampangalainga
voampangalainga,ampangalainga
miampango,ampango
ampangorombary,ampangoro
aampatra,ampatra
amparina,ampatra
ampatrampatra,ampatra
anamparana,ampatra
famparana,ampatra
fanamparana,ampatra
fanampatra,ampatra
fiamparana,ampatra
fiampatra,ampatra
iamparana,ampatra
lampatra,ampatra
manampatra,ampatra
miampatra,ampatra
miampatrampatra,ampatra
mpanampatra,ampatra
mpiampatra,ampatra
voampatra,ampatra
aampatse,ampatse
faampatse,ampatse
fiampatse,ampatse
kiampatse,ampatse
mahaampatse,ampatse
mampiampatse,ampatse
manampatse,ampatse
miampatse,ampatse
mihamiampatse,ampatse
panampatse,ampatse
piampatse,ampatse
voaampatse,ampatse
fanampe,ampe
mahampe,ampe
mampanampe,ampe
mampifanampe,ampe
manampe,ampe
miampe,ampe
mifanampe,ampe
mihaampe,ampe
panampe,ampe
pifanampe,ampe
mahaampela,ampela
ampiana,ampy
anampiana,ampy
anampy,ampy
fahampiana,ampy
fanampiana,ampy
fanampiny,ampy
fanampy,ampy
fifanampiana,ampy
iampiana,ampy
ifanampiana,ampy
mahampy,ampy
manampy,ampy
miampy,ampy
mifanampy,ampy
mpanampy,ampy
ampifina,ampify
anampifiana,ampify
fanampifiana,ampify
fanampify,ampify
fiampifiana,ampify
fiampify,ampify
iampifiana,ampify
manampify,ampify
miampify,ampify
mpanampify,ampify
mpiampify,ampify
tafampify,ampify
voampify,ampify
ampirimana,ampirina
ampirimina,ampirina
ampirinana,ampirina
ampirinina,ampirina
anampirimana,ampirina
fampirimana,ampirina
fampirina,ampirina
fanampirimana,ampirina
fanampirina,ampirina
fiampirina,ampirina
iampirimana,ampirina
mahampirina,ampirina
mampirina,ampirina
manampirina,ampirina
miampirina,ampirina
mimpirina,ampirina
mpampirina,ampirina
mpanampirina,ampirina
mpiampirina,ampirina
voampirina,ampirina
iampirana,ampitra
miampitra,ampitra
tafampitra,ampitra
anampoizana,ampo
mahaampo,ampo
mahampo,ampo
mihaampo,ampo
ampoasaina,ampoasa
ampoasana,ampoasa
anampoasana,ampoasa
fampoasa,ampoasa
fampoasana,ampoasa
fanampoasa,ampoasa
fanampoasana,ampoasa
mampoasa,ampoasa
manampoasa,ampoasa
mpampoasa,ampoasa
mpanampoasa,ampoasa
voampoasa,ampoasa
ampofoina,ampofo
fiampofoana,ampofo
iampofoana,ampofo
mahampofo,ampofo
mpiampofo,ampofo
voampofo,ampofo
ampohana,ampoka
anampohana,ampoka
fiampoka,ampoka
mahampoka,ampoka
miampoka,ampoka
voampoka,ampoka
ampomboina,ampombo
ampongaina,amponga
anampongana,amponga
mampanamponga,amponga
mampifanamponga,amponga
manamponga,amponga
mifanamponga,amponga
miana,ana
mianana,ana
pana,ana
anakanaka,anaka
fananahana,anaka
fianahana,anaka
ianahana,anaka
mianaka,anaka
mpianaka,anaka
kianakanaka,anakanaka
anakandroana,anakandro
anakandroina,anakandro
fianakaviana,anakavy
mianakavy,anakavy
mpianakavy,anakavy
ampianake,anake
mahanake,anake
mianake,anake
pianake,anake
mananganaky,anaky
mianaky,anaky
anamatavy,anana
ananana,anana
anantaraona,anana
anantsaritaka,anana
anantsatria,anana
fanana,anana
fananana,anana
hanana,anana
manana,anana
mpanana,anana
anatiny,anaty
ampianarana,anatra
ampianarina,anatra
ananarana,anatra
anarina,anatra
fampianarana,anatra
fampianatra,anatra
fananarana,anatra
fananatra,anatra
fianarana,anatra
fianatra,anatra
ianarana,anatra
mampananatra,anatra
mampianatra,anatra
mampifananatra,anatra
mananatra,anatra
mianatra,anatra
mpampianatra,anatra
mpananatra,anatra
mpianatra,anatra
voanatra,anatra
ampananatse,anatse
mampianatse,anatse
mianatse,anatse
mifampianatse,anatse
pampianatse,anatse
pananatse,anatse
pianatse,anatse
pifampianatse,anatse
pifananatse,anatse
voaanatse,anatse
anandalasana,andala
andalasana,andala
andalasina,andala
fanandalasana,andala
manandala,andala
anandevozana,andevo
andevoina,andevo
andevozina,andevo
fahandevozana,andevo
fanandevo,andevo
fanandevozana,andevo
fiandevo,andevo
iandevozana,andevo
mahandevo,andevo
manandevo,andevo
miandevo,andevo
mifanandevo,andevo
mpanandevo,andevo
mpiandevo,andevo
ampandoana,ando
ampandoina,ando
andoando,ando
fampando,ando
fampandoana,ando
fiando,ando
hamandoa,ando
mahamando,ando
mahampando,ando
mampando,ando
mando,ando
mihamando,ando
mpampando,ando
mpiandoha,andoha
andraina,andra
fandramanana,andra
fiandra,andra
fiandrana,andra
iandrana,andra
mahandra,andra
miandra,andra
mpiandra,andra
tafaandra,andra
fiandraikitra,andraikitra
iandraiketana,andraikitra
miandraikitra,andraikitra
mpiandraikitra,andraikitra
mandraka,andraka
miandraka,andraka
anandramana,andrana
andramana,andrana
andranandranina,andrana
fanandramana,andrana
fanandrana,andrana
fandrama,andrana
fiandranandrana,andrana
fiandranandranana,andrana
mahandranandrana,andrana
manandrana,andrana
mpanandrana,andrana
voandrana,andrana
iandranandranana,andranandrana
miandranandrana,andranandrana
mitanandranandrana,andranandrana
mpiandranandrana,andranandrana
tafandranandrana,andranandrana
voandranandrana,andranandrana
anandrandra,andrandra
anandrandrana,andrandra
andrandraina,andrandra
fanandrandrana,andrandra
fiandrandra,andrandra
fiandrandrana,andrandra
iandrandrana,andrandra
mahandrandra,andrandra
manandrandra,andrandra
miandrandra,andrandra
mpanandrandra,andrandra
mpiandrandra,andrandra
voandrandra,andrandra
fiandravana,andravana
fiandravanana,andravana
iandravana,andravana
iandravanana,andravana
miandravana,andravana
mpiandravana,andravana
andrefandrefana,andrefana
ankandrefana,andrefana
handrendriana,andrendry
ampandriana,andry
andrasana,andry
andrazana,andry
andriana,andry
andriandry,andry
fampandriana,andry
fandriana,andry
fandry,andry
fiandrasana,andry
fiandry,andry
fifampiandrasana,andry
iandrasana,andry
mahandry,andry
mampandry,andry
mampiandry,andry
mandry,andry
miandry,andry
mifampiandry,andry
mpandry,andry
mpiandry,andry
tafandriana,andry
tafandry,andry
voaandry,andry
voandry,andry
andriambavirano,andriana
andriambe,andriana
andrianafetrea,andriana
andrianakatrakatra,andriana
andrianamboambo,andriana
andrianamboninolona,andriana
andriandranando,andriana
andriantompombodivona,andriana
andriantompomenakely,andriana
anrianina,andriana
handrianana,andriana
andrinina,andrina
ampandroana,andro
ampandroina,andro
anandro,andro
anandroana,andro
androana,andro
androbake,andro
andromitaiky,andro
androtriny,andro
androtrizay,andro
androtry,andro
androtsaiky,andro
androvalaka,andro
fanandro,andro
fanandroana,andro
fandro,andro
fandroana,andro
mahampandro,andro
mampandro,andro
manandro,andro
mandro,andro
mpanandro,andro
tafandro,andro
tolakandro,andro
voampandro,andro
anandrohana,androka
androhina,androka
manandroka,androka
anandrongoana,androngo
manandrongo,androngo
androvondrovo,androvo
manandrovo,androvo
mananga,anga
mananga,anga
angadirapaka,angady
manangafo,angafo
angahaina,angaha
angalina,angaly
miangaly,angaly
mpiangaly,angaly
angambaina,angamba
ananganana,angana
anganina,angana
fiangana,angana
hananganana,angana
manangana,angana
miangana,angana
mifanangana,angana
